123.102,1564.163
249.982,1578.326
382.85,1594.687
526.565,1620.6
681.559,1645.429
853.048,1674.201
1046.042,1706.986
1262.563,1737.769
1533.996,1796.079
1599.476,1599.476
1632.592,1394.365
1658.485,1204.96
1686.522,1033.502
1712.515,872.57
1737.817,719.828
1761.357,572.299
1785.271,428.606
1807.47,286.275
1831.337,144.129
1857.0,0.0
1879.189,-147.895
1958.586,-310.21
2576.78,-618.63
2614.454,-849.488
2655.23,-1099.832
2679.257,-1365.149
2185.317,-1339.164
2072.702,-1505.906
1813.568,-1548.934
1590.283,-1590.283
1383.974,-1620.425
1199.082,-1650.395
1027.755,-1677.143
868.938,-1705.386
716.001,-1728.579
569.827,-1753.748
426.505,-1776.52
284.867,-1798.58
143.345,-1821.368
0.0,-1845.0
-147.111,-1869.22
-300.041,-1894.386
-461.288,-1921.403
-614.326,-1890.7
-658.598,-1589.997
-701.869,-1377.496
-734.11,-1197.959
-802.327,-1104.308
-824.799,-965.716
-842.164,-842.164
-858.498,-733.227
-872.12,-633.632
-888.451,-544.444
-901.699,-459.438
-913.717,-378.474
-925.378,-300.674
-940.282,-225.742
-949.168,-150.334
-961.028,-75.635
-974.0,0.0
-984.954,77.518
-998.553,158.155
-1008.348,242.083
-1025.239,333.12
-1041.212,431.284
-1065.644,542.973
-1010.379,619.161
-1042.823,757.655
-1055.443,901.434
-1091.066,1091.066
-1124.844,1317.023
-1000.41,1376.947
-857.943,1400.035
-723.661,1420.264
-595.455,1437.557
-474.032,1458.921
-355.07,1478.975
-236.842,1495.36
-119.336,1516.311
